,地址,店名
0,臺北市大同區長安西路143號,101玩具：長安店周邊商品販售中
1,臺北市大同區重慶北路2段171號,家樂福：重慶店
2,臺北市大同區承德路3段42號1樓,可可電玩
3,臺北市大同區延平北路1段110號112號116號1樓,統一超商：延平北
4,臺北市士林區忠誠路二段55號3樓,101玩具：高島屋周邊商品販售中
5,臺北市士林區天母東路68號6樓,FUNBOX：天母新光
6,臺北市士林區天母西路63號1樓,紅蘋果周邊商品販售中
7,臺北市士林區中山北路六段77號7樓,其曜玩具：天母SOGO周邊商品販售中
8,臺北市士林區大東路35號1樓,統一超商：大饌
9,臺北市士林區光華路26巷10號1樓,統一超商：文學
10,臺北市士林區延平北路六段229號231號,統一超商：集鑫
11,臺北市士林區重慶北路四段177號,統一超商：福順
12,臺北市士林區德行西路47號2樓,玩具e哥：天母家樂福
13,臺北市士林區士東路292號1樓,玩具森林：士東路
14,臺北市士林區中山北路7段24-1號地下1樓,玩具森林：中山北路
15,臺北市士林區通河街80號1樓,春大地親子百貨
16,臺北市士林區福港街246號248號,統一超商：新劍潭
17,臺北市士林區福港街246號,統一超商：新劍潭
18,臺北市南港區忠孝東路七段369號B棟3樓,FUNBOX：南港潤泰周邊商品販售中
19,臺北市南港區經貿二路186號C棟1樓,TOYWORLD：南港中信周邊商品販售中
20,臺北市南港區忠孝東路七段371號B1A樓,TOYWORLD：南港環球周邊商品販售中
21,臺北市南港區興華路119、121、123、125號,統一超商：港興
22,臺北市中正區寶慶路32號5樓,FUNBOX：寶慶遠東周邊商品販售中
23,臺北市中正區中華路二段303巷3號,世興精品禮坊（中興精品）周邊商品販售中
24,臺北市中正區市民大道一段100號B1,永淇樂園地下街周邊商品販售中
25,臺北市中正區市民大道三段2號6樓,玩具e哥：台北三創店
26,臺北市中正區市民大道一段100號79-1號店,玩具e哥：台北大道一店
27,臺北市中正區市民大道一段100號39號店鋪,玩具e哥：台北大道二店
28,臺北市中正區市民大道一段100號B1-51號店,其曜玩具：台北地下街周邊商品販售中
29,臺北市中正區林森南路4之3號,統一超商：千成
